Airport ID,Airport Name,CY 16 Enplanements,CY 17 Enplanements
KGSP,Greenville Spartanburg International,991276,1051089
KIOW,Iowa City Municipal,1576,1559
KVGC,Hamilton Municipal,12,12
KARR,Aurora Municipal,0,8
KMJX,Ocean County,2,3
KAIZ,Lee C Fine Memorial,58,32
KPAO,Palo Alto,3,6
KMGM,Montgomery Regional (Dannelly Field),173210,152773
KILG,New Castle,1043,434
KHIO,Portland-Hillsboro,30,24
KCOS,City of Colorado Springs Municipal,657694,815839
KHRT,Hurlburt Field,2161,1886
KBPT,Jack Brooks Regional,26518,23767
KSUT,Cape Fear Regional Jetport/Howie Franklin Field,4,7
KFCM,Flying Cloud,25,2
KAVL,Asheville Regional,416939,478061
KMDH,Southern Illinois,291,24
KCXO,Conroe-North Houston Regional,0,5
KCEU,Oconee County Regional,9,93
KOWD,Norwood Memorial,53,41
KMYR,Myrtle Beach International,944849,1131959
KEDW,Edwards AFB,80,51
KSNA,John Wayne Airport-Orange County,5217242,5082716
KGTU,Georgetown Municipal,0,4
KOXC,Waterbury-Oxford,87,132
KCJR,Culpeper Regional,9,2
KSAF,Santa Fe Municipal,71252,103679
KDTW,Detroit Metropolitan Wayne County,16847135,17036092
KGFK,Grand Forks International,132557,117520
KPBI,Palm Beach International,3100624,3110450
KFKL,Venango Regional,2025,1396
KGOO,Nevada County,35,40
KBNO,Burns Municipal,0,23
KFAT,Fresno Yosemite International,761298,755140
KPKB,Mid-Ohio Valley Regional,4170,4155
KANB,Anniston Regional,1396,834
KEKM,Elkhart Municipal,15,12
KEDC,Austin Executive,0,2
KTYQ,Indianapolis Executive,10,13
KWYS,Yellowstone,8525,8786
KPGV,Pitt-Greenville,47457,51966
KASE,Aspen-Pitkin County/Sardy Field,254392,244808
KSGT,Stuttgart Municipal Carl Humphrey Field,0,2
KMKE,General Mitchell International,3327536,3414477
KTVL,Lake Tahoe,12,26
KBMI,Central IL Regional Airport at Bloomington-Normal,188490,163475
KJWN,John C Tune,33,11
KEDE,Northeastern Regional,0,4
KAUS,Austin-Bergstrom International,6095545,6813171
KDTS,Destin Executive,23,58
KNZY,North Island NAS /Halsey Field/,315,349
KDIJ,Driggs-Reed Memorial,18,11
KUGN,Waukegan National,67,59
KCMX,Houghton County Memorial,25439,24843
KLEB,Lebanon Municipal,10245,10383
KYKN,Chan Gurney Municipal,0,35
KMTJ,Montrose Regional,116272,123206
KBKX,Brookings Regional,0,21
KLBL,Liberal Mid-America Regional,5212,994
KGAI,Montgomery County Airpark,56,37
KMCI,Kansas City International,5391557,5628581
KUES,Waukesha County,44,135
KCOE,Coeur D'Alene - Pappy Boyington Field,48,31
KTWF,Joslin Field - Magic Valley Regional,38869,45736
KJQF,Concord Regional,90338,129034
KDMA,Davis Monthan AFB,565,362
KPIA,General Downing - Peoria International,307189,312378
KLAW,Lawton-Fort Sill Regional,51088,50939
KOPF,Miami-Opa Locka Executive,1250,828
KWWD,Cape May County,31,7
KMRY,Monterey Regional,192136,197099
KSFF,Felts Field,19,18
KARW,Beaufort County,909,151
KELP,El Paso International,1414376,1450115
KTRK,Truckee-Tahoe,10385,12792
KWRI,McGuire Field (Joint Base McGuire Dix Lakehurst),848,1622
KFFZ,Falcon Field,3,3
KSLN,Salina Regional,3967,13850
KDVT,Phoenix Deer Valley,13,12
KMLS,Frank Wiley Field,0,1
KBOS,General Edward Lawrence Logan International,17759044,18759742
KRDG,Reading Regional/Carl A Spaatz Field,1470,1391
KRUT,Rutland - Southern Vermont Regional,5146,5024
KMFD,Mansfield Lahm Regional,138,336
KBED,Laurence G Hanscom Field,15105,10956
KVAD,Moody AFB,274,522
KMOT,Minot International,150634,141161
KTOL,Toledo Express,92522,102988
KAEX,Alexandria International,129776,156145
KNFW,Fort Worth NAS Jrb (Carswell Field),369,191
KLSE,La Crosse Regional,94047,92101
KRUE,Russellville Regional,5,5
KMLB,Melbourne International,220360,221928
KBWG,Bowling Green-Warren County Regional,2186,1778
KCYS,Cheyenne Regional/Jerry Olson Field,3189,1894
KSTS,Charles M Schulz - Sonoma County,167151,195296
KDAB,Daytona Beach International,342495,346470
KLMT,Crater Lake-Klamath Regional,2827,5529
KDAY,James M Cox Dayton International,1019922,935373
KCNO,Chino,25,23
KCBF,Council Bluffs Municipal,2,2
KLAF,Purdue University,3084,3778
KZZV,Zanesville Municipal,3,3
KPIE,St Pete-Clearwater International,915672,1023471
KLAS,McCarran International,22833267,23364393
KEWB,New Bedford Regional,7022,5998
KGHG,Marshfield Municipal - George Harlow Field,2,10
KYNG,Youngstown-Warren Regional,53633,36455
KBOI,Boise Air Terminal/Gowen Field,1633507,1777642
KMLI,Quad City International,364393,335940
KHII,Lake Havasu City,7,14
KTPL,Draughon-Miller Central Texas Regional,5,2
KNHK,Patuxent River NAS/Trapnell Field/,53,111
KJVL,Southern Wisconsin Regional,326,373
KBOW,Bartow Municipal,4,4
KVPS,Eglin AFB/Destin-Ft Walton Beach,440002,567633
KRNT,Renton Municipal,434,1224
KFNL,Northern Colorado Regional,4559,3198
KRHI,Rhinelander-Oneida County,20414,23014
KHPN,Westchester County,766170,759334
KCMI,University of Illinois-Willard,89318,100133
KMZJ,Pinal Airpark,5,15
KJKA,Jack Edwards National,7,39
KMDW,Chicago Midway International,11044387,10912074
KPSF,Pittsfield Municipal,41,28
KCIC,Chico Municipal,0,0
KSRC,Searcy Municipal,0,3
KMTC,Selfridge Angb,0,397
KCHD,Chandler Municipal,104,1689
KUIN,Quincy Regional-Baldwin Field,7847,7709
KTVI,Thomasville Regional,6,17
KPHN,St Clair County International,9,15
KHIB,Range Regional,12654,15377
KEUG,Mahlon Sweet Field,483224,529149
KPAE,Snohomish County (Paine Field),181,623
KGEG,Spokane International,1570652,1698433
KOXB,Ocean City Municipal,2,3
KSUX,Sioux Gateway/Col Bud Day Field,36413,41787
KSUW,Richard I Bong,0,2
KBAD,Barksdale AFB,1503,1448
KOTH,Southwest Oregon Regional,14719,12971
KBHM,Birmingham-Shuttlesworth International,1304467,1333967
KAST,Astoria Regional,6,2
KDRT,Del Rio International,22,807
KMPV,Edward F Knapp State,18,9
KADS,Addison,36,66
KGTB,Wheeler-Sack AAF,3398,14576
KSVH,Statesville Regional,4,2
KABY,Southwest Georgia Regional,34226,37920
KPAH,Barkley Regional,20266,20910
KMGJ,Orange County,4,4
KJYO,Leesburg Executive,101,352
KMVY,Martha's Vineyard,54084,49767
KGIC,Idaho County,0,16
KMKC,Charles B Wheeler Downtown,2907,3471
KLEW,Auburn/Lewiston Municipal,32,44
KDXR,Danbury Municipal,858,885
KJST,John Murtha Johnstown-Cambria County,4193,3594
KPSP,Palm Springs International,995801,1055970
KSBA,Santa Barbara Municipal,329751,356608
KFHU,Sierra Vista Municipal-Libby AAF,245,110
KCIU,Chippewa County International,20974,22261
KAVP,Wilkes-Barre/Scranton International,232855,261572
KAGC,Allegheny County,412,346
KIAB,McConnell AFB,0,216
KSHV,Shreveport Regional,270395,267646
KCRQ,McClellan-Palomar,180,5931
KBVI,Beaver County,1,2
KSSI,McKinnon St Simons Island,41,67
KROC,Greater Rochester International,1186002,1205774
KNGU,Norfolk NS (Chambers Field),27953,27120
KMGW,Morgantown Municipal-Walter L Bill Hart Field,7851,5698
KSAW,Sawyer International,45462,50938
KOXR,Oxnard,8,10
KHWD,Hayward Executive,9,10
KOFP,Hanover County Municipal,2,3
KBKF,Buckley AFB,0,4
KHIF,Hill AFB,333,257
KAND,Anderson Regional,80,169
KSKF,Kelly Field,788,531
